event_id,customer_id,event_json,phone,event_time,default_region,ds
evt-001,cus-001,"{""event"":{""type"":""purchase"",""amount"":125.50,""currency"":""USD""},""device"":{""id"":""dev-a"",""label"":""José iPhone""},""network"":{""is_tor"":false,""country"":""US""},""identity"":{""name"":""José Alvarez""},""velocity"":{""last_10m"":1}}",+14155552671,2026-08-08T23:40:00-07:00,US,2026-08-09
evt-002,cus-001,"{""event"":{""type"":""password_reset"",""amount"":0,""currency"":""USD""},""device"":{""id"":""dev-x"",""label"":""Unknown Linux""},""network"":{""is_tor"":true,""country"":""NL""},""identity"":{""name"":""Jose Alvarez""},""velocity"":{""last_10m"":7}}",+31612345678,2026-08-09T08:02:00+02:00,US,2026-08-09
evt-003,cus-001,"{""event"":{""type"":""purchase"",""amount"":2800.00,""currency"":""EUR""},""device"":{""id"":""dev-x"",""label"":""Unknown Linux""},""network"":{""is_tor"":true,""country"":""NL""},""identity"":{""name"":""J. Alvarez""},""velocity"":{""last_10m"":9}}",+31612345678,2026-08-10T00:15:00+02:00,US,2026-08-09
evt-004,cus-002,"{""event"":{""type"":""purchase"",""amount"":88.20,""currency"":""CNY""},""device"":{""id"":""dev-b"",""label"":""张伟的手机""},""network"":{""is_tor"":false,""country"":""CN""},""identity"":{""name"":""张伟""},""velocity"":{""last_10m"":2}}",13800138000,2026-08-09T10:30:00+08:00,CN,2026-08-09
evt-005,cus-002,"{""event"":{""type"":""beneficiary_add"",""amount"":0,""currency"":""CNY""},""device"":{""id"":""dev-c"",""label"":""Windows Chrome""},""network"":{""is_tor"":false,""country"":""SG""},""identity"":{""name"":""Wei Zhang""},""velocity"":{""last_10m"":6}}",+6581234567,2026-08-10T02:10:00+08:00,CN,2026-08-09
evt-006,cus-002,"{""event"":{""type"":""purchase"",""amount"":9600.00,""currency"":""CNY""},""device"":{""id"":""dev-c"",""label"":""Windows Chrome""},""network"":{""is_tor"":false,""country"":""SG""},""identity"":{""name"":""Wei Zhang""},""velocity"":{""last_10m"":8}}",+6581234567,2026-08-10T02:12:00+08:00,CN,2026-08-09
evt-007,cus-003,"{""event"":{""type"":""login"",""amount"":0,""currency"":""EUR""},""device"":{""id"":""dev-d"",""label"":""Élodie MacBook""},""network"":{""is_tor"":false,""country"":""FR""},""identity"":{""name"":""Élodie Martin""},""velocity"":{""last_10m"":1}}",+33612345678,2026-08-10T09:00:00+02:00,FR,2026-08-10
evt-008,cus-003,"{""event"":{""type"":""purchase"",""amount"":430.10,""currency"":""EUR""},""device"":{""id"":""dev-d"",""label"":""Élodie MacBook""},""network"":{""is_tor"":false,""country"":""FR""},""identity"":{""name"":""Elodie Martin""},""velocity"":{""last_10m"":2}}",+33612345678,2026-08-10T09:05:00+02:00,FR,2026-08-10
evt-009,cus-004,"{""event"":{""type"":""purchase"",""amount"":15000.00,""currency"":""BTC""},""device"":{""id"":""dev-z"",""label"":""Disposable VM""},""network"":{""is_tor"":true,""country"":""ZZ""},""identity"":{""name"":""Unknown""},""velocity"":{""last_10m"":20}}",not-a-phone,2026-08-11T01:30:00Z,GB,2026-08-11
evt-010,cus-004,"{broken-json",+442079460018,not-a-timestamp,GB,2026-08-11
